Epoch 0 train loss: 0.007233510414759318, eval loss: 0.027682356536388397, accuracy: 0.48
Epoch 1 train loss: 0.007179994756976764, eval loss: 0.02747969888150692, accuracy: 0.48
Epoch 2 train loss: 0.007123084738850594, eval loss: 0.027233773842453957, accuracy: 0.48
Epoch 3 train loss: 0.007053711141149203, eval loss: 0.026940874755382538, accuracy: 0.64
Epoch 4 train loss: 0.0069707240909338, eval loss: 0.026602331548929214, accuracy: 0.84
Epoch 5 train loss: 0.00687236525118351, eval loss: 0.026214612647891045, accuracy: 0.92
Epoch 6 train loss: 0.006759002183874448, eval loss: 0.025780584663152695, accuracy: 0.92
Epoch 7 train loss: 0.006630125765999158, eval loss: 0.02529599517583847, accuracy: 0.92
Epoch 8 train loss: 0.006484566256403923, eval loss: 0.024759560823440552, accuracy: 0.92
Epoch 9 train loss: 0.006321705877780914, eval loss: 0.024171704426407814, accuracy: 0.92
