Epoch 0 train loss: 0.007236754521727562, eval loss: 0.02755032479763031, accuracy: 0.56
Epoch 1 train loss: 0.007186104233066241, eval loss: 0.02742457389831543, accuracy: 0.72
Epoch 2 train loss: 0.007130419835448265, eval loss: 0.027244482189416885, accuracy: 1.0
Epoch 3 train loss: 0.007061654701828957, eval loss: 0.027001526206731796, accuracy: 0.92
Epoch 4 train loss: 0.006976341207822164, eval loss: 0.026695773005485535, accuracy: 0.92
Epoch 5 train loss: 0.00687355858584245, eval loss: 0.02632620930671692, accuracy: 0.92
Epoch 6 train loss: 0.006751824791232745, eval loss: 0.025889631360769272, accuracy: 0.92
Epoch 7 train loss: 0.006610908235112826, eval loss: 0.025385936722159386, accuracy: 0.92
Epoch 8 train loss: 0.0064518265426158905, eval loss: 0.02481868490576744, accuracy: 0.92
Epoch 9 train loss: 0.0062766602883736295, eval loss: 0.024189259856939316, accuracy: 0.92
