Epoch 4 train loss: 0.006516311938563983, eval loss: 0.02683986723423004, accuracy: 0.8333333333333334
Epoch 5 train loss: 0.006283616026242574, eval loss: 0.02618604712188244, accuracy: 0.8333333333333334
Epoch 6 train loss: 0.006018173570434253, eval loss: 0.025414403527975082, accuracy: 0.875
Epoch 7 train loss: 0.005720032379031181, eval loss: 0.024529531598091125, accuracy: 0.875
Epoch 8 train loss: 0.005389132226506869, eval loss: 0.02354620024561882, accuracy: 0.875
Epoch 9 train loss: 0.00503115759541591, eval loss: 0.02247154340147972, accuracy: 0.875
Epoch 0 train loss: 0.007198843484123548, eval loss: 0.02901024930179119, accuracy: 0.3333333333333333
Epoch 1 train loss: 0.0070788779606421786, eval loss: 0.028724145144224167, accuracy: 0.3333333333333333
Epoch 2 train loss: 0.006960854555169742, eval loss: 0.02838350459933281, accuracy: 0.5
Epoch 3 train loss: 0.006833931431174278, eval loss: 0.02796882763504982, accuracy: 0.6666666666666666
Epoch 4 train loss: 0.0066897763560215635, eval loss: 0.027460135519504547, accuracy: 0.7083333333333334
Epoch 5 train loss: 0.0065229715158541994, eval loss: 0.026842854917049408, accuracy: 0.75
Epoch 6 train loss: 0.006329748779535294, eval loss: 0.02609853260219097, accuracy: 0.875
Epoch 7 train loss: 0.00610891729593277, eval loss: 0.02522766962647438, accuracy: 0.9166666666666666
Epoch 8 train loss: 0.005857298771540324, eval loss: 0.02422722987830639, accuracy: 0.9166666666666666
Epoch 9 train loss: 0.005575745676954587, eval loss: 0.02311054617166519, accuracy: 0.9166666666666666
