Epoch 0 train loss: 0.007268553599715233, eval loss: 0.02820381335914135, accuracy: 0.6666666666666666
Epoch 1 train loss: 0.007132957379023234, eval loss: 0.027968835085630417, accuracy: 0.7916666666666666
Epoch 2 train loss: 0.006996738413969676, eval loss: 0.02768363431096077, accuracy: 0.8333333333333334
Epoch 3 train loss: 0.006849028790990512, eval loss: 0.027334537357091904, accuracy: 0.9583333333333334
Epoch 4 train loss: 0.006680244579911232, eval loss: 0.02690451219677925, accuracy: 0.9166666666666666
Epoch 5 train loss: 0.006488303964336713, eval loss: 0.02637496218085289, accuracy: 0.9166666666666666
Epoch 6 train loss: 0.006266886368393898, eval loss: 0.0257459357380867, accuracy: 0.9166666666666666
Epoch 7 train loss: 0.006014525890350342, eval loss: 0.024995921179652214, accuracy: 0.9166666666666666
Epoch 8 train loss: 0.005729461709658305, eval loss: 0.024130817502737045, accuracy: 0.9166666666666666
Epoch 9 train loss: 0.0054125916212797165, eval loss: 0.02315484546124935, accuracy: 0.9166666666666666
