Epoch 0 train loss: 0.007241874312361081, eval loss: 0.027452096343040466, accuracy: 0.68
Epoch 1 train loss: 0.007186445718010266, eval loss: 0.027432972565293312, accuracy: 0.8
Epoch 2 train loss: 0.007127945000926654, eval loss: 0.027368802577257156, accuracy: 0.84
Epoch 3 train loss: 0.007056090359886487, eval loss: 0.027251550927758217, accuracy: 0.8
Epoch 4 train loss: 0.006968041881918907, eval loss: 0.02707860618829727, accuracy: 0.8
Epoch 5 train loss: 0.006862428660194079, eval loss: 0.026844460517168045, accuracy: 0.8
Epoch 6 train loss: 0.006737078229586284, eval loss: 0.026550142094492912, accuracy: 0.8
Epoch 7 train loss: 0.006591119493047397, eval loss: 0.02619257941842079, accuracy: 0.8
Epoch 8 train loss: 0.006424068162838618, eval loss: 0.025771835818886757, accuracy: 0.8
Epoch 9 train loss: 0.006236665571729342, eval loss: 0.025299066677689552, accuracy: 0.84
