Epoch 0 train loss: 0.007250869646668434, eval loss: 0.028436850756406784, accuracy: 0.625
Epoch 1 train loss: 0.00710907019674778, eval loss: 0.02811349183320999, accuracy: 0.8333333333333334
Epoch 2 train loss: 0.006969739372531573, eval loss: 0.02775212749838829, accuracy: 0.8333333333333334
Epoch 3 train loss: 0.006819055726130803, eval loss: 0.027303405106067657, accuracy: 0.9166666666666666
Epoch 4 train loss: 0.0066477954387664795, eval loss: 0.026748474687337875, accuracy: 0.9583333333333334
Epoch 5 train loss: 0.0064491766194502516, eval loss: 0.02607542648911476, accuracy: 0.9583333333333334
Epoch 6 train loss: 0.006217359875639279, eval loss: 0.025288743898272514, accuracy: 0.9583333333333334
Epoch 7 train loss: 0.0059511953343947726, eval loss: 0.024380549788475037, accuracy: 0.9583333333333334
Epoch 8 train loss: 0.0056516677141189575, eval loss: 0.023349232971668243, accuracy: 0.9583333333333334
Epoch 9 train loss: 0.0053205012033383054, eval loss: 0.02219785749912262, accuracy: 0.9583333333333334
