Epoch 0 train loss: 0.007233846311767896, eval loss: 0.028236765414476395, accuracy: 0.75
Epoch 1 train loss: 0.007088351373871167, eval loss: 0.02782270312309265, accuracy: 0.9166666666666666
Epoch 2 train loss: 0.0069444576899210615, eval loss: 0.027355540543794632, accuracy: 0.9583333333333334
Epoch 3 train loss: 0.006790343672037125, eval loss: 0.02680344134569168, accuracy: 0.9166666666666666
Epoch 4 train loss: 0.006615633765856425, eval loss: 0.026154590770602226, accuracy: 0.875
Epoch 5 train loss: 0.006414647524555524, eval loss: 0.02539364993572235, accuracy: 0.9166666666666666
Epoch 6 train loss: 0.006184130286176999, eval loss: 0.024517830461263657, accuracy: 0.9166666666666666
Epoch 7 train loss: 0.005923217783371608, eval loss: 0.023518923670053482, accuracy: 0.9166666666666666
Epoch 8 train loss: 0.005629261955618858, eval loss: 0.022405356168746948, accuracy: 0.9166666666666666
Epoch 9 train loss: 0.005301311612129211, eval loss: 0.021175680682063103, accuracy: 0.9166666666666666
