Epoch 0 train loss: 0.007241032396753629, eval loss: 0.02755693905055523, accuracy: 0.52
Epoch 1 train loss: 0.007192899162570636, eval loss: 0.027410373091697693, accuracy: 0.52
Epoch 2 train loss: 0.007142190511027972, eval loss: 0.02722061425447464, accuracy: 0.68
Epoch 3 train loss: 0.007081752022107442, eval loss: 0.026988612487912178, accuracy: 0.96
Epoch 4 train loss: 0.007010780895749728, eval loss: 0.02670629881322384, accuracy: 1.0
Epoch 5 train loss: 0.006926554565628369, eval loss: 0.02637503109872341, accuracy: 0.96
Epoch 6 train loss: 0.006828834613164266, eval loss: 0.025994500145316124, accuracy: 0.96
Epoch 7 train loss: 0.00671885721385479, eval loss: 0.025562359020113945, accuracy: 0.96
Epoch 8 train loss: 0.006597058226664861, eval loss: 0.02508159540593624, accuracy: 0.96
Epoch 9 train loss: 0.006461650754014651, eval loss: 0.024548158049583435, accuracy: 0.96
