Epoch 0 train loss: 0.007203412552674611, eval loss: 0.0284748375415802, accuracy: 0.75
Epoch 1 train loss: 0.00708078034222126, eval loss: 0.02810818701982498, accuracy: 0.8333333333333334
Epoch 2 train loss: 0.006958990668257077, eval loss: 0.02768883854150772, accuracy: 0.8333333333333334
Epoch 3 train loss: 0.006825340911746025, eval loss: 0.02719021961092949, accuracy: 0.875
Epoch 4 train loss: 0.0066702670107285185, eval loss: 0.02659466676414013, accuracy: 0.9166666666666666
Epoch 5 train loss: 0.006486942991614342, eval loss: 0.025897163897752762, accuracy: 0.9583333333333334
Epoch 6 train loss: 0.006272674848635991, eval loss: 0.02507934346795082, accuracy: 0.9583333333333334
Epoch 7 train loss: 0.00602607491115729, eval loss: 0.024136744439601898, accuracy: 0.9583333333333334
Epoch 8 train loss: 0.00574658749004205, eval loss: 0.023074468597769737, accuracy: 0.9583333333333334
Epoch 9 train loss: 0.005435159429907799, eval loss: 0.02191964164376259, accuracy: 0.9583333333333334
